Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,53.035,-55.465,0.0,top
C1,19.5825,-50.45,180.0,top
C10,45.47,-43.09,180.0,top
C11,45.47,-41.11,180.0,top
C12,45.46,-47.04,180.0,top
C13,45.4675,-45.07,180.0,top
C14,28.83,-55.75,180.0,top
C15,24.22,-73.81,45.0,top
C16,41.265,-77.375,225.0,top
C17,47.15,-72.18,315.0,top
C18,34.08,-78.35,180.0,top
C19,24.31,-78.2,270.0,top
C2,19.5825,-52.46,180.0,top
C20,39.99,-60.52,0.0,top
C21,29.83,-57.74,180.0,top
C22,28.18,-68.2875,90.0,top
C3,51.08,-43.58,0.0,top
C4,49.51,-49.33,0.0,top
C5,28.83,-53.74,180.0,top
C6,28.92,-34.29,90.0,top
C7,26.17,-34.28,90.0,top
C8,45.46,-50.98,0.0,top
C9,45.46,-49.01,0.0,top
J1,55.635,-66.595001,180.0,top
LED_DPI1,46.905,-55.515,270.0,bottom
PAW3395,37.095,-47.775001,180.0,top
POLLING1,24.5696,-46.67,0.0,bottom
R4,29.05,-52.0,0.0,top
R5,44.825,-60.25,90.0,bottom
R6,46.76,-60.22,90.0,bottom
R7,48.7,-60.23,90.0,bottom
R8,55.07,-60.67,0.0,top
R9,26.3,-52.56,0.0,bottom
RST1,28.645,-78.435,0.0,top
SW_DPI1,53.025,-49.295,0.0,bottom
SW_LAT1,53.545,-38.325,270.0,top
SW_LEFT1,21.085,-23.395,0.0,top
SW_RGTH1,54.345,-23.375,0.0,top
SW_WHEEL1,47.765,-25.425,0.0,top
U1,49.525,-46.505,0.0,top
U2,20.600001,-56.6725,270.0,top
U3,37.358945,-69.527625,315.0,top
U4,29.555,-47.52,90.0,top
U5,29.5675,-43.8925,90.0,top
U6,27.375,-64.1,90.0,top
USB1,23.55,-65.18,90.0,top
WHEEL_ENCODER1,28.84,-23.115,180.0,top
Y1,28.68434,-73.653579,315.0,top
